stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
1112,,"AVENIDA WASHINGTON SOARES, 4600",,-3.799236,-38.479559,,,0,,,
1113,,"AVENIDA WASHINGTON SOARES, 4393",,-3.796708,-38.479977,,,0,,,
1114,,"AVENIDA OLIVEIRA PAIVA, 2885",,-3.795625,-38.479096,,,0,,,
1116,,"AVENIDA I CJ JOSE WALTER, 360",,-3.827377,-38.551411,,,0,,,
1117,,"AVENIDA I CJ JOSE WALTER, 890",,-3.829824,-38.552161,,,0,,,
1118,,"AVENIDA I CJ JOSE WALTER, 670",,-3.82989,-38.552181,,,0,,,
1119,,"AVENIDA L CJ JOSE WALTER, 390",,-3.828096,-38.556639,,,0,,,
1120,,"RUA 69 CJ JOSE WALTER, S/N",,-3.830487,-38.554696,,,0,,,
1121,,"AVENIDA J CJ JOSE WALTER, 780",,-3.831916,-38.555933,,,0,,,
1124,,"AVENIDA J CJ JOSE WALTER, 291",,-3.833825,-38.556505,,,0,,,
1125,,"AVENIDA J CJ JOSE WALTER, SN",,-3.834694,-38.556779,,,0,,,
1127,,"RUA PERGENTINO MAIA, 380",,-3.830969,-38.492044,,,0,,,
1128,,"RUA PERGENTINO MAIA, 613",,-3.831314,-38.489536,,,0,,,
1129,,"AVENIDA CEL DIONISIO ALENCAR, 350",,-3.831276,-38.487595,,,0,,,
1130,,"AVENIDA CEL DIONISIO ALENCAR, 144",,-3.829334,-38.486846,,,0,,,
1132,,"RUA DOR JOAQUIM BENTO, 820",,-3.8283,-38.484261,,,0,,,
1133,,"RUA DOR JOAQUIM BENTO, 510",,-3.828294,-38.484995,,,0,,,
1134,,"RUA MARIA JOSE WEYNE, 122",,-3.828972,-38.48494,,,0,,,
1135,,"RUA GUILHERME PESSOA, 1361",,-3.827725,-38.482999,,,0,,,
1136,,"AVENIDA WASHINGTON SOARES, 8776",,-3.828385,-38.482155,,,0,,,
114,,"RUA DOR QUIXADA FELICIO, 241",,-3.710083,-38.595365,,,0,,,
1140,,"RUA MANUEL C BRANCO, 1195",,-3.833601,-38.4842,,,0,,,
1144,,"RUA MANUEL C BRANCO, 1011",,-3.833366,-38.485887,,,0,,,
1146,,"AVENIDA GURGEL DO AMARAL, 1240",,-3.836204,-38.48512,,,0,,,
1147,,"AVENIDA GURGEL DO AMARAL, 549",,-3.833394,-38.490746,,,0,,,
1150,,"AVENIDA TEN GURGEL DO AMARAL, 270",,-3.832955,-38.492441,,,0,,,
1151,,"RUA JOSE BELCHIOR, 535",,-3.829153,-38.480681,,,0,,,
1152,,"RUA JOSE PEREIRA BARROS, 80",,-3.828334,-38.479341,,,0,,,
1153,,"RUA CEL JUSTINO F RAMOS, 351",,-3.829215,-38.474971,,,0,,,
1154,,"RUA CEL JUSTINO F RAMOS, 630",,-3.831481,-38.475387,,,0,,,
1155,,"RUA CEL JUSTINO F RAMOS, 630",,-3.831622,-38.475416,,,0,,,
1157,,"RUA E CJ RESD GUAJERU, 401",,-3.834629,-38.477911,,,0,,,
1158,,"RUA SOCORRO GOMES, 413",,-3.834676,-38.477945,,,0,,,
1159,,"RUA B CJ RESD GUAJERU, 23",,-3.83552,-38.477973,,,0,,,
116,,"AVENIDA J CJ POLAR, 10",,-3.709968,-38.596508,,,0,,,
1160,,"RUA B CJ RESD GUAJERU, 434",,-3.835863,-38.478212,,,0,,,
1161,,"RUA B CJ RESD GUAJERU, 295",,-3.834809,-38.477462,,,0,,,
1162,,"RUA SOCORRO GOMES, 239",,-3.833506,-38.477097,,,0,,,
1163,,"RUA D CJ RESD GUAJERU, 112",,-3.833415,-38.476457,,,0,,,
1164,,"RUA B CJ RESD GUAJERU, 101",,-3.833297,-38.476372,,,0,,,
1165,,"RUA JOAO ARAUJO LIMA, 1631",,-3.836641,-38.561387,,,0,,,
1167,,"RUA JOAO ARAUJO LIMA, 1771",,-3.837375,-38.561634,,,0,,,
1168,,"RUA JOAO ARAUJO LIMA, 1911",,-3.838819,-38.561843,,,0,,,
1169,,"AVENIDA L CJ JOSE WALTER, 1300",,-3.836309,-38.559093,,,0,,,
117,,"AVENIDA MOZART P.LUCENA, 1211",,-3.713349,-38.594275,,,0,,,
1170,,"AVENIDA L CJ JOSE WALTER, S/N",,-3.837536,-38.559458,,,0,,,
1173,,"AVENIDA L CJ JOSE WALTER, 1560",,-3.839198,-38.55997,,,0,,,
1175,,"AVENIDA J CJ JOSE WALTER, 1300",,-3.836358,-38.557294,,,0,,,
1177,,"AVENIDA J CJ JOSE WALTER, 670",,-3.839749,-38.558304,,,0,,,
1179,,"AVENIDA H CJ JOSE WALTER, 480",,-3.84092,-38.559788,,,0,,,
1180,,"AVENIDA DOS MARINHEIROS, 654",,-3.843241,-38.563777,,,0,,,
1181,,"AVENIDA DOS MARINHEIROS, 654",,-3.843162,-38.563857,,,0,,,
1182,,"RUA JOAO ARAUJO LIMA, 2196",,-3.841217,-38.562454,,,0,,,
1183,,"AVENIDA DOS MARINHEIROS, 750",,-3.843435,-38.56512,,,0,,,
1184,,"AVENIDA I CJ JOSE WALTER, 1480",,-3.836948,-38.554316,,,0,,,
1185,,"AVENIDA 95 CJ JOSE WALTER, 60",,-3.83891,-38.555452,,,0,,,
1186,,"AVENIDA G CJ JOSE WALTER, 290",,-3.838353,-38.55722,,,0,,,
1191,,"RUA STA EFIGENIA, 115",,-3.834967,-38.500596,,,0,,,
1193,,"RUA ANGELICA GURGEL, SN",,-3.835369,-38.499074,,,0,,,
1196,,"RUA GUARUJA, 404",,-3.834812,-38.497901,,,0,,,
1197,,"RUA GUARUJA, 336",,-3.834846,-38.496317,,,0,,,
1199,,"AVENIDA TEN JURANDIR DE ALENCAR, SN",,-3.832307,-38.49751,,,0,,,
12,,"AVENIDA CEL CARVALHO, 163",,-3.703877,-38.591409,,,0,,,
120,,"AVENIDA DOM ALOISIO LORSCHEIDER, 1183",,-3.715936,-38.597278,,,0,,,
1201,,"AVENIDA FREI CIRILO, 126",,-3.828818,-38.493621,,,0,,,
1202,,"AVENIDA FREI CIRILO, 81",,-3.828086,-38.493434,,,0,,,
1203,,"RUA MANUEL C BRANCO, 54",,-3.831666,-38.495075,,,0,,,
1204,,"RUA EDUARDO PORTO, 57",,-3.832717,-38.494949,,,0,,,
1206,,"RUA MANUEL C BRANCO, 316",,-3.831807,-38.4927,,,0,,,
1207,,"RUA GUARUJA, 626",,-3.83487,-38.494954,,,0,,,
1209,,"RUA PDE PEDRO DE ALENCAR, 888",,-3.835451,-38.494138,,,0,,,
1210,,"RUA PDE PEDRO DE ALENCAR, 888",,-3.835772,-38.494147,,,0,,,
1211,,"AVENIDA MON TABOSA, 84",,-3.72303,-38.522229,,,0,,,
1212,,"RUA PESSOA ANTA, 96",,-3.721115,-38.522037,,,0,,,
1213,,"RUA PESSOA ANTA, 57",,-3.721126,-38.522126,,,0,,,
1214,,"AVENIDA ALBERTO NEPOMUCENO, SN",,-3.723415,-38.524429,,,0,,,
1215,,"AVENIDA ALBERTO NEPOMUCENO, SN",,-3.722916,-38.524008,,,0,,,
1216,,"AVENIDA ALM BARROSO, 511",,-3.720675,-38.518805,,,0,,,
1217,,"RUA ALM BARROSO, 411",,-3.720799,-38.519724,,,0,,,
1218,,"RUA ALM JACEGUAI, SN",,-3.721442,-38.519336,,,0,,,
1219,,"AVENIDA ALM BARROSO, 714",,-3.720403,-38.516762,,,0,,,
122,,"AVENIDA AMBIENTALISTA ARY THIERS, 235",,-3.71618,-38.597431,,,0,,,
1220,,"AVENIDA ALM BARROSO, 668",,-3.720523,-38.517649,,,0,,,
1221,,"RUA RUFINO DE ALENCAR, 346",,-3.724039,-38.520141,,,0,,,
1222,,"AVENIDA DOM MANUEL, 3",,-3.724059,-38.519657,,,0,,,
1223,,"AVENIDA DOM MANUEL, 140",,-3.725355,-38.520185,,,0,,,
1224,,"AVENIDA DOM MANUEL, 283",,-3.726753,-38.520539,,,0,,,
1225,,"RUA PEREIRA FILGUEIRAS, 442",,-3.726491,-38.518643,,,0,,,
1226,,"RUA TEN BENEVOLO, 284",,-3.72494,-38.518592,,,0,,,
1227,,"RUA PEREIRA FILGUEIRAS, 713",,-3.727148,-38.516619,,,0,,,
1228,,"RUA TEN BENEVOLO, 595",,-3.725778,-38.515848,,,0,,,
1229,,"RUA TEN BENEVOLO, 765",,-3.726253,-38.514299,,,0,,,
123,,"AVENIDA AMBIENTALISRA  ARY THIERS, 241",,-3.716272,-38.597994,,,0,,,
1230,,"RUA RUFINO DE ALENCAR, 100",,-3.724302,-38.522965,,,0,,,
1231,,"AVENIDA HIS RAIMUNDO GIRAO, 412",,-3.720717,-38.512219,,,0,,,
1232,,"AVENIDA HIS RAIMUNDO GIRAO, 363",,-3.720523,-38.513173,,,0,,,
1236,,"RUA TEN BENEVOLO, 1022",,-3.727061,-38.512014,,,0,,,
124,,"AVENIDA D CJ PLANALTO BARRA, 1273",,-3.715787,-38.598861,,,0,,,
1240,,"AVENIDA BAR STUDART, 300",,-3.726733,-38.504122,,,0,,,
1244,,"AVENIDA MON TABOSA, 176",,-3.724429,-38.505883,,,0,,,
1245,,"AVENIDA ABOLICAO, SN",,-3.725558,-38.500762,,,0,,,
1246,,"AVENIDA ABOLICAO, 2026",,-3.725654,-38.500881,,,0,,,
1248,,"AVENIDA ABOLICAO, 2456",,-3.726891,-38.497018,,,0,,,
1249,,"AVENIDA ABOLICAO, 2456",,-3.726804,-38.496879,,,0,,,
125,,"AVENIDA ERS, 607",,-3.715399,-38.599995,,,0,,,
1250,,"AVENIDA ABOLICAO, SN",,-3.726116,-38.499006,,,0,,,
1251,,"AVENIDA ABOLICAO, 3000",,-3.72696,-38.4928,,,0,,,
1253,,"AVENIDA ABOLICAO, 2727",,-3.727269,-38.494787,,,0,,,
1254,,"AVENIDA ABOLICAO, 2727",,-3.727185,-38.494929,,,0,,,
1256,,"AVENIDA ABOLICAO, 3273",,-3.726532,-38.489988,,,0,,,
1257,,"AVENIDA JULIO IBIAPINA, 222",,-3.727361,-38.491243,,,0,,,
1258,,"AVENIDA ABOLICAO, 3207",,-3.72656,-38.49098,,,0,,,
126,,"AVENIDA J CJ POLAR, 1416",,-3.717613,-38.598662,,,0,,,
1260,,"AVENIDA ABOLICAO, 3555",,-3.726058,-38.487029,,,0,,,
1261,,"AVENIDA ABOLICAO, 3555",,-3.725935,-38.487058,,,0,,,
1263,,"AVENIDA ABOLICAO, 3796",,-3.725627,-38.4857,,,0,,,
1264,,"AVENIDA ABOLICAO, 4140",,-3.724606,-38.482759,,,0,,,
1265,,"AVENIDA ABOLICAO, SN",,-3.725369,-38.484131,,,0,,,
1266,,"AVENIDA ABOLICAO, SN",,-3.72525,-38.484145,,,0,,,
1269,,"RUA PRO ALVARO COSTA, 195",,-3.723007,-38.464454,,,0,,,
127,,"AVENIDA MOZART P.LUCENA, 1720",,-3.717707,-38.595537,,,0,,,
1270,,"AVENIDA CESAR CALS, 350",,-3.720988,-38.464413,,,0,,,
1271,,"AVENIDA CESAR CALS, 350",,-3.72119,-38.464319,,,0,,,
1272,,"AVENIDA CESAR CALS, 130",,-3.7193,-38.465189,,,0,,,
1273,,"AVENIDA ZEZE DIOGO, 1427",,-3.719292,-38.463639,,,0,,,
1275,,"RUA BRISA DO MAR, 1121",,-3.726934,-38.468843,,,0,,,
1276,,"RUA AIRTON SENNA, 936",,-3.726948,-38.469809,,,0,,,
1278,,"AVENIDA , 440",,-3.724829,-38.465685,,,0,,,
1279,,"RUA OLIVEIRA FILHO, 890",,-3.726229,-38.464279,,,0,,,
128,,"AVENIDA MOZART P.LUCENA, 1680",,-3.717146,-38.595375,,,0,,,
1281,,"RUA VISCONDE CAIRU, 330",,-3.726188,-38.463364,,,0,,,
1283,,"RUA CESAR CALS, 975",,-3.726894,-38.461362,,,0,,,
1284,,"AVENIDA CESAR CALS, 1030",,-3.726806,-38.46141,,,0,,,
1285,,"AVENIDA CESAR CALS, 876",,-3.725206,-38.462289,,,0,,,
1286,,"AVENIDA CESAR CALS, 876",,-3.725136,-38.462328,,,0,,,
1287,,"AVENIDA CESAR CALS, 510",,-3.723312,-38.463288,,,0,,,
1288,,"AVENIDA CESAR CALS, 560",,-3.723267,-38.463311,,,0,,,
1289,,"RUA MIGUEL CALMON, 09",,-3.727312,-38.463143,,,0,,,
129,,"RUA CIDADE PALHANO, 730",,-3.717388,-38.595112,,,0,,,
1292,,"AVENIDA J CJ CEARA, 623",,-3.762772,-38.614082,,,0,,,
1296,,"AVENIDA C CJ CEARA, 73",,-3.758979,-38.608058,,,0,,,
1297,,"AVENIDA C CJ CEARA, 73",,-3.758907,-38.608023,,,0,,,
13,,"AVENIDA CEL CARVALHO, 250",,-3.704985,-38.591232,,,0,,,
130,,"RUA CIDADE PALHANO, 601",,-3.717651,-38.594217,,,0,,,
1301,,"RUA TAILANDIA, 531",,-3.755365,-38.604746,,,0,,,
1302,,"AVENIDA E CJ CEARA, 340",,-3.759027,-38.606687,,,0,,,
1303,,"AVENIDA E CJ CEARA, 280",,-3.759114,-38.606471,,,0,,,
1304,,"RUA PERILIO TEIXEIRA, 1056",,-3.756208,-38.601244,,,0,,,
1306,,"RUA JOSE MENDONCA, 896",,-3.755412,-38.60187,,,0,,,
1307,,"RUA JOSE MENDONCA, 531",,-3.757768,-38.602304,,,0,,,
1309,,"RUA PERILIO TEIXEIRA, 800",,-3.757706,-38.60154,,,0,,,
131,,"AVENIDA MOZART P.LUCENA, 1560",,-3.716537,-38.595202,,,0,,,
1312,,"AVENIDA C CJ CEARA, 475",,-3.762913,-38.609643,,,0,,,
1313,,"AVENIDA C CJ CEARA, 686",,-3.763027,-38.609688,,,0,,,
1314,,"AVENIDA C CJ CEARA, 337",,-3.761626,-38.609136,,,0,,,
1315,,"AVENIDA C CJ CEARA, 337A",,-3.76155,-38.609107,,,0,,,
